barra,i_max_A,i_max_B,i_max_C,i_media_A,i_media_B,i_media_C,v_max_A,v_max_B,v_max_C
800,14.87,13.08,13.19,13.48,12.68,12.71,29374.84,26137.17,29421.18
818,23.87,21.34,20.73,21.12,21.27,20.59,14744.59,16044.19,16011.9
820,10.51,9.42,9.16,9.31,9.39,9.1,14173.78,15676.35,15505.33
822,10.51,9.41,9.16,9.3,9.38,9.1,14092.61,15624.0,15433.37
T2F,14.88,13.25,12.93,13.24,12.89,12.81,30297.28,26353.77,30115.27
T2F1,26.66,23.81,23.11,23.58,23.73,22.95,14770.2,16266.1,16137.95
800,14.87,13.08,13.19,13.48,12.68,12.71,29374.85,26137.17,29421.18
818,23.87,21.34,20.73,21.12,21.27,20.59,14744.59,16044.18,16011.9
820,10.51,9.42,9.16,9.31,9.39,9.1,14173.73,15676.31,15505.25
822,10.51,9.41,9.16,9.3,9.38,9.1,14092.54,15623.95,15433.27
T2F,14.88,13.25,12.93,13.24,12.89,12.81,30297.29,26353.77,30115.27
T2F1,26.66,23.81,23.11,23.58,23.73,22.95,14770.2,16266.1,16137.95
800,14.87,13.08,13.19,13.48,12.68,12.71,29374.85,26137.17,29421.18
818,23.87,21.34,20.73,21.12,21.27,20.59,14744.59,16044.18,16011.9
820,10.51,9.42,9.16,9.31,9.39,9.1,14173.68,15676.27,15505.18
822,10.51,9.41,9.16,9.3,9.38,9.1,14092.48,15623.9,15433.17
T2F,14.88,13.25,12.93,13.24,12.89,12.81,30297.29,26353.77,30115.27
T2F1,26.66,23.81,23.11,23.58,23.73,22.95,14770.21,16266.09,16137.95
