Arquivo,Topo,Reg,Terra,Falta,Barra,I_falta,V2_V1,THD
MRT_sem_terra__A_818_1_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,800,14.818292323172182,268030.36438693956,57.06729077630822
MRT_sem_terra__A_818_1_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,818,16.260030729902088,100.0,55.33013080542906
MRT_sem_terra__A_818_1_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,820,5.2606713726597745,100.0,52.98182707985058
MRT_sem_terra__A_818_1_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,822,2.644469825549417,100.0,55.94951034326976
MRT_sem_terra__A_818_1_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,T2F,16.240629380914182,100.0,55.34557675233556
MRT_sem_terra__A_818_2_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,800,15.354401152219747,266708.2009989087,61.03268531871831
MRT_sem_terra__A_818_2_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,818,16.624165037633446,100.0,52.97096958588382
MRT_sem_terra__A_818_2_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,820,5.286351275024874,100.0,75.29909855549836
MRT_sem_terra__A_818_2_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,822,2.643977295157851,100.0,160.1215086630913
MRT_sem_terra__A_818_2_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,T2F,16.61137992802078,100.0,53.004257197421914
MRT_sem_terra__A_820_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,800,14.818292323172196,268030.3643868055,57.06729077630819
MRT_sem_terra__A_820_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,818,16.2600307299021,100.0,55.33013080542884
MRT_sem_terra__A_820_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,820,15.15997235373284,100.0,52.98182707985075
MRT_sem_terra__A_820_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,822,2.644469825549417,100.0,55.94951034326987
MRT_sem_terra__A_820_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,T2F,16.240629380914182,100.0,55.34557675233533
MRT_sem_terra__A_822_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,800,14.68194408672887,266173.6488382027,56.246019550785455
MRT_sem_terra__A_822_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,818,16.131849160346686,100.0,55.34321591911111
MRT_sem_terra__A_822_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,820,15.067228331816413,100.0,53.379672818609514
MRT_sem_terra__A_822_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,822,15.499916490502244,100.0,52.97399594335871
MRT_sem_terra__A_822_-_Falta_A_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,T2F,16.1115799860778,100.0,55.3498015444478
MRT_sem_terra__Sem_Falta_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,800,9.431070240221622,42487.33283875699,373.70986540164
MRT_sem_terra__Sem_Falta_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,818,11.803497827193489,100.0,373.28439608863556
MRT_sem_terra__Sem_Falta_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,820,6.552635398243793,100.0,373.23778050300746
MRT_sem_terra__Sem_Falta_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,822,3.3870047397701035,100.0,373.2095856007106
MRT_sem_terra__Sem_Falta_py,MRN,com_regulador,sem_aterramento,pleno_funcionamento,T2F,11.777645893842733,100.0,373.2806781237162
MRT_SR_sem_terra__A_818_1_-_Falta_A_py,MRN,sem_regulador,sem_aterramento,pleno_funcionamento,800,6.991508193040158,262780.9920812543,52.23614814908275
MRT_SR_sem_terra__A_818_1_-_Falta_A_py,MRN,sem_regulador,sem_aterramento,pleno_funcionamento,818,8.590939684619405,100.0,53.995083560977406
MRT_SR_sem_terra__A_818_1_-_Falta_A_py,MRN,sem_regulador,sem_aterramento,pleno_funcionamento,820,5.642985697266546,100.0,54.97190322016695
MRT_SR_sem_terra__A_818_1_-_Falta_A_py,MRN,sem_regulador,sem_aterramento,pleno_funcionamento,822,2.8394252943744935,100.0,58.98221382520242
MRT_SR_sem_terra__A_818_1_-_Falta_A_py,MRN,sem_regulador,sem_aterramento,pleno_funcionamento,T2F,8.57906441367461,100.0,53.964147665580256
MRT_SR_sem_terra__A_818_2_-_Falta_A_py,MRN,sem_regulador,sem_aterramento,pleno_funcionamento,800,7.02354643947387,262964.2813891652,52.864843527538305
