Par;Barra;Tipo;Caso A;Legenda_A;Imax_A;I0_Max_A;Unbalance_A(%);H3_A;H5_A;H7_A;THD_A(%);Caso B;Legenda_B;Imax_B;I0_Max_B;Unbalance_B(%);H3_B;H5_B;H7_B;THD_B(%);V_Regime_A;VUF_Max_A(%);V_Regime_B;VUF_Max_B(%)
1;I_800_raw;Corrente;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;14,024536321753272;6,764979824283872;92,29875836077764;1,1633239400712846e-06;1,7072466864486842e-07;8,63639164264004e-08;0,0;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;12,932986482393163;6,2705835687650096;91,80645592411193;1,0507027960117023e-06;1,5533885573743418e-07;7,904390333776248e-08;0,0;;;;
1;I_T2F_raw;Corrente;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;13,234859264551648;6,2250226149837316;100,0;1,0726993411776897e-06;1,5339492139849235e-07;7,272950374859838e-08;0,0;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;13,237136027049193;6,225999364773309;100,0;1,0173383912591923e-06;1,2644815327444492e-07;5,2679309208854556e-08;0,0;;;;
1;I_818_raw;Corrente;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;13,236530669589788;6,226360481654242;100,0;1,0650432105259725e-06;1,4707028892279813e-07;6,773653152772049e-08;0,0;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;13,238831943532446;6,227291314976787;100,0;1,0169627963427054e-06;1,260446646592314e-07;5,2313362736494575e-08;0,0;;;;
1;I_820_raw;Corrente;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;10,602781558519307;4,997593403677645;100,0;4,964739874586682e-07;5,127997492411688e-08;1,551948243491772e-08;0,0;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;10,603143301664739;4,99775745548565;100,0;4,838907858980725e-07;4,979899846314991e-08;1,5049162371931793e-08;0,0;;;;
1;I_822_raw;Corrente;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;5,3103234524757115;2,5043399117702183;100,0;2,4857304731384894e-07;2,5557044586447218e-08;7,48971395339472e-09;0,0;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;5,310364381124167;2,504579087194414;100,0;2,422402130134472e-07;2,481849729957092e-08;7,272712462550146e-09;0,0;;;;
1;V_800_raw;Tensao;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;;;;;;;;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;;;;;;;;13657,685013808456;86218,62570456769;14346,502704515447;110932,12921193351
1;V_T2F_raw;Tensao;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;;;;;;;;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;;;;;;;;14286,785624036738;100,0;13933,040077289505;100,0
1;V_818_raw;Tensao;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;;;;;;;;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;;;;;;;;14282,657890167337;100,0;13928,862415151578;100,0
1;V_820_raw;Tensao;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;;;;;;;;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;;;;;;;;14178,582455475189;100,0;13823,595608972226;100,0
1;V_822_raw;Tensao;MRT (Monofásico c/ Retorno por Terra/Neutro) | Com regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT;;;;;;;;MRT (Monofásico c/ Retorno por Terra/Neutro) | Sem regulador | Com aterramento da subestação | Caso em regime (sem falta);MRT SR;;;;;;;;14165,738648728404;100,0;13810,550293324945;100,0
